sample_num,timestamp_ms,acc_x(g),acc_y(g),acc_z(g),gyro_x(LSB),gyro_y(LSB),gyro_z(LSB)
1,0,0.026614,-0.147785,1.095263,2002.25,2146.20,245.75
2,98,0.046969,-0.272870,1.176090,2052.33,2231.28,206.83
3,198,0.065918,-0.378680,1.243622,1813.33,1871.28,186.83
4,298,0.083342,-0.471566,1.302616,1992.33,2176.28,192.83
5,398,0.098795,-0.548524,1.351517,2080.33,2253.28,213.83
6,498,0.114053,-0.616592,1.393595,2391.33,2739.28,305.83
7,598,0.122573,-0.677179,1.431101,2951.34,2896.29,-571.16
8,698,0.120807,-0.721079,1.461205,3173.35,2599.30,1078.85
9,798,0.135602,-0.762825,1.492873,6892.33,2799.28,1890.83
10,898,0.145138,-0.793530,1.523672,10140.35,4436.30,351.85
11,1008,0.142093,-0.782568,1.539213,14444.33,4220.28,1458.83
12,1108,0.143477,-0.702390,1.555059,15067.33,282.28,2718.83
13,1208,0.161922,-0.638851,1.578984,10709.35,-8040.70,2277.85
14,1308,0.179906,-0.573711,1.538859,11174.35,-4447.70,-3509.15
15,1418,0.195761,-0.528999,1.481791,-44.65,-3015.70,-2516.15
16,1518,0.206216,-0.494601,1.424586,-5507.66,5033.29,-439.16
17,1618,0.203073,-0.505627,1.404636,-8758.65,3469.30,2495.85
18,1718,0.225853,-0.541422,1.405293,-9080.65,4973.30,1925.85
19,1828,0.217732,-0.574154,1.430589,-3579.65,5092.30,302.85
20,1928,0.200959,-0.601500,1.454178,-2160.65,4237.30,1178.85
21,2028,0.193331,-0.627089,1.467637,-4001.65,3960.30,1749.85
22,2138,0.191571,-0.669145,1.498358,-5731.66,1888.29,458.84
23,2238,0.184289,-0.721135,1.523849,-3078.65,4384.30,524.85
24,2338,0.173193,-0.774316,1.541121,-3776.63,1506.32,-787.13
25,2438,0.160594,-0.841108,1.579570,-408.64,2193.31,-270.14
26,2538,0.142798,-0.898797,1.600478,1179.36,1246.31,1552.86
27,2648,0.155613,-0.948766,1.607189,2512.36,-1967.69,-1064.14
28,2748,0.173684,-0.982341,1.604051,4464.36,1683.31,-138.14
29,2848,0.192687,-1.006852,1.603342,5030.36,3127.31,137.86
