sample_num,timestamp_ms,acc_x(g),acc_y(g),acc_z(g),gyro_x(LSB),gyro_y(LSB),gyro_z(LSB)
1,0,-0.000240,-0.001663,1.000476,8.25,-12.05,6.90
2,99,0.001020,-0.001501,1.000294,10.26,-8.04,19.91
3,199,-0.000343,-0.002206,1.000213,-25.74,24.96,-2.09
4,299,-0.002345,-0.003153,1.000784,3.25,-5.05,1.90
5,399,-0.028747,0.001334,0.934327,-5114.73,-2908.03,2703.92
6,499,-0.010759,0.001083,0.889686,-9565.74,-1333.04,4677.91
7,599,0.014291,-0.064353,0.977900,-3710.73,47.97,1169.92
8,699,0.027636,-0.107613,0.984913,-352.73,245.97,66.92
9,799,0.029055,-0.136218,0.975476,20.27,-51.03,41.92
10,899,0.030738,-0.160075,0.975528,17.27,-12.03,7.92
11,999,0.031490,-0.180792,0.973120,-12.74,12.96,-9.09
12,1109,0.033064,-0.198255,0.970468,-2.72,13.98,-7.07
13,1209,0.035005,-0.212843,0.967097,11.27,-5.03,8.92
14,1309,0.038615,-0.222935,0.963921,-27.73,25.97,-5.08
15,1419,0.038937,-0.238508,1.004177,14746.28,652.98,166.93
16,1519,0.079402,-0.142467,0.970940,12530.28,242.98,742.93
17,1619,0.060715,-0.087200,0.952721,-1366.73,2376.97,-221.08
18,1719,0.050307,-0.058534,0.898930,-2603.72,2890.98,-1538.07
19,1829,0.028659,-0.074066,0.914145,-131.73,44.97,617.92
20,1929,0.019598,-0.054932,0.931052,-66.72,1.98,340.93
21,2029,0.019074,-0.044875,0.941760,-17.72,-11.02,36.93
22,2139,0.014728,-0.038451,0.950862,1.26,-7.04,-2.09
23,2239,0.013853,-0.032167,0.957445,-2.73,5.97,53.92
24,2339,0.012451,-0.027136,0.964066,-1.72,-8.02,-39.07
25,2439,0.010051,-0.023007,0.969566,1.28,-10.02,3.93
26,2539,0.009219,-0.019204,0.973911,4.28,-0.02,-2.07
27,2649,0.007670,-0.016703,0.977421,1.28,-7.02,-3.07
28,2749,0.006756,-0.014322,0.980698,-8.72,-0.02,-9.07
29,2849,0.005411,-0.012682,0.983501,0.26,-4.04,-2.09
30,2949,0.004726,-0.011801,0.986818,7.28,7.98,8.93
31,3049,0.086797,-0.047619,1.034169,-7773.73,175.97,-1724.08
32,3159,0.070278,-0.057830,1.024978,-10389.74,511.96,-2471.09
33,3259,0.052997,-0.116406,1.059976,-1467.72,112.98,-255.07
34,3359,0.040523,-0.145798,1.040707,-1140.72,-88.02,-38.07
35,3469,0.034369,-0.168730,1.021692,-172.72,-8.02,-10.07
36,3569,0.029670,-0.191115,1.016186,-53.72,-9.02,6.93
37,3669,0.025163,-0.209191,1.007202,62.26,8.96,-10.09
38,3769,0.021607,-0.223566,0.996051,7.29,-2.01,-19.06
39,3879,0.017082,-0.239649,0.993768,-106.73,3.97,-10.08
40,3979,0.027006,-0.281847,1.057361,8565.27,236.97,-624.08
41,4079,0.056773,-0.282211,1.069906,16232.29,3176.99,-1176.06
42,4189,0.052577,-0.245991,1.198580,1681.28,84.98,-148.07
43,4289,0.046795,-0.178088,1.185071,-1605.71,217.99,-233.06
44,4389,0.026774,-0.167484,1.175236,-4315.72,-624.02,817.93
45,4489,0.018819,-0.164842,1.154114,72.28,-3.02,744.93
46,4589,0.014237,-0.133502,1.129624,-189.72,60.98,-287.07
47,4699,0.011221,-0.116182,1.109722,-16.72,-10.02,197.93
48,4799,0.007450,-0.099501,1.093904,-3.71,-2.01,29.94
49,4899,0.006129,-0.085395,1.079654,7.29,-8.01,33.94
50,4999,0.005172,-0.072252,1.067321,1.28,-11.02,59.93
51,5099,0.004615,-0.061081,1.057827,-5.72,-6.02,27.93
52,5209,0.004306,-0.051493,1.049025,-3.71,5.99,-6.06
53,5309,0.003640,-0.043417,1.041616,1.29,0.99,-9.06
54,5409,0.003056,-0.036991,1.035428,-2.72,0.98,-16.07
55,5519,0.002559,-0.032208,1.030279,5.27,16.97,-4.08
56,5619,0.001826,-0.027592,1.025975,1.28,10.98,-2.07
57,5719,0.001019,-0.023504,1.021932,-5.73,-0.03,-5.08
58,5819,0.034483,-0.016990,1.051857,-4011.71,438.99,785.94
59,5919,0.035187,-0.028133,1.016191,-9026.71,-874.01,13.94
60,6029,0.000172,-0.084352,1.049175,-10738.71,-1772.01,-2623.06
61,6129,0.007871,-0.118863,1.046614,-1700.72,-490.02,47.93
62,6239,0.009234,-0.147703,1.032865,-46.72,-13.02,-32.07
63,6339,0.008745,-0.172125,1.021325,-18.73,-3.03,-2.08
64,6439,0.008035,-0.192134,1.010784,-5.73,-33.03,-9.08
65,6539,0.007909,-0.208830,1.002116,-5.72,-7.02,-6.07
66,6639,0.007673,-0.222765,0.994236,-5.72,5.98,10.93
67,6749,0.007217,-0.235104,0.988656,-1.71,-13.01,1.94
68,6849,-0.008571,-0.237645,0.979133,12884.28,-632.02,-1258.07
69,6949,-0.010656,-0.184911,0.940533,16393.28,-897.02,-680.07
70,7049,-0.020448,-0.142723,0.928908,-129.72,860.98,-584.07
71,7159,-0.024744,-0.107156,0.950411,-4401.73,-1167.03,218.92
72,7259,-0.011055,-0.118984,0.970557,-1780.72,-157.02,1936.93
73,7359,-0.011687,-0.100967,0.968400,51.28,11.98,80.93
74,7459,-0.008177,-0.089462,0.976014,-25.72,9.98,21.93
75,7569,-0.007538,-0.074866,0.978971,-0.70,13.00,-0.05
76,7669,-0.005145,-0.064969,0.982199,6.28,-1.02,0.93
77,7769,-0.005236,-0.055494,0.984832,2.27,8.97,-1.08
78,7869,-0.004159,-0.048154,0.987052,13.29,-7.01,8.94
79,7979,-0.004104,-0.040872,0.988847,-2.73,1.97,-13.08
80,8079,-0.002959,-0.034865,0.990319,6.27,-0.03,-10.08
81,8179,-0.002993,-0.029100,0.991789,-1.71,3.99,5.94
82,8289,-0.002454,-0.024822,0.993057,1.29,-3.01,-0.06
83,8389,-0.002233,-0.020985,0.994282,-7.71,5.99,2.94
84,8489,-0.002266,-0.018290,0.994901,-2.72,-3.02,3.93
85,8589,0.002760,-0.020816,0.994366,-45.71,-10.01,77.94
86,8689,0.015236,-0.040358,1.025588,-7276.72,-544.02,903.93
87,8799,-0.002579,-0.081981,1.015872,-11304.72,940.98,-3173.07
88,8899,0.006046,-0.091377,1.001296,-1123.72,-262.02,59.93
89,8999,0.003343,-0.119158,0.986929,-701.73,-288.03,-65.08
90,9099,0.003206,-0.148375,0.985538,-53.73,60.97,-13.08
91,9209,0.004079,-0.172697,0.980457,4.28,-5.02,3.93
92,9309,0.003594,-0.193205,0.975624,5.28,-17.02,4.93
93,9409,0.003804,-0.210784,0.972048,2.29,-9.01,-6.06
94,9509,0.003122,-0.225634,0.968642,5.29,-12.01,4.94
95,9619,-0.008169,-0.234393,1.009051,9390.30,-343.00,-190.05
96,9719,-0.037432,-0.182512,0.939377,15231.28,492.98,-2232.07
97,9819,-0.004609,-0.155992,1.055074,1287.29,1746.99,-524.06
98,9919,-0.006738,-0.106697,1.018395,-1119.70,635.00,-475.05
99,10029,-0.016459,-0.091512,1.023473,-3580.71,-678.01,1590.94
100,10129,-0.023842,-0.092466,1.014879,-160.71,56.99,453.94
