sample_num,timestamp_ms,acc_x(g),acc_y(g),acc_z(g),gyro_x(LSB),gyro_y(LSB),gyro_z(LSB)
1,0,-0.001503,-0.000598,1.000584,9.96,-16.41,-14.64
2,19,-0.000895,-0.000869,1.000768,-12.05,5.58,15.35
3,39,-0.000763,-0.000128,1.000999,-18.04,13.59,9.36
4,59,-0.002811,0.000501,1.000371,-12.05,6.58,-9.65
5,79,-0.004112,0.000139,0.999837,15.96,-3.41,-5.64
6,99,-0.003131,0.000399,0.999438,12.97,-15.40,-4.63
7,119,-0.002132,0.000748,0.999868,3.96,-4.41,11.36
8,139,-0.003297,0.000990,0.999757,-4.05,2.58,19.35
9,159,-0.004526,0.000462,1.000212,3.95,-7.42,-9.65
10,189,-0.003373,0.000472,0.999830,12.96,-5.41,-7.64
11,209,-0.002887,0.000664,0.999597,-10.06,-3.43,14.34
12,239,-0.004196,0.000698,0.999911,3.93,0.56,-1.67
13,259,-0.003862,0.000617,0.999922,11.94,-13.43,-8.66
14,279,-0.003724,0.000512,0.999785,-0.03,-2.40,-0.63
15,299,-0.004156,0.000057,1.000163,-5.04,3.59,2.36
16,319,-0.004834,-0.000257,1.000063,-0.04,-8.41,9.36
17,349,-0.004093,-0.000103,0.999905,1.95,-0.42,2.35
18,369,-0.004085,-0.000044,0.999203,-8.04,9.59,-3.64
19,389,-0.004682,-0.000361,0.999283,-3.05,-2.42,-1.65
20,409,-0.005117,-0.000429,0.998949,2.97,-2.40,-1.63
21,429,-0.019366,0.007057,1.011959,359.95,-139.42,33.35
22,459,-0.029390,0.000163,1.005054,4165.95,252.58,787.35
23,479,-0.013961,0.013346,1.008834,5848.95,-823.42,589.35
24,499,-0.041129,-0.003262,1.046142,5819.95,1342.58,731.35
25,529,-0.056531,-0.014100,1.076828,6138.96,453.59,331.36
26,549,-0.049683,-0.004015,1.042505,10582.95,763.58,1178.35
27,569,-0.061514,0.013457,0.999744,9124.93,605.56,1836.33
28,589,-0.068897,-0.010144,0.989343,10699.95,1283.58,2488.35
29,669,-0.051038,0.002572,1.004562,14335.96,136.59,2893.36
30,689,-0.034944,0.050623,0.980090,11589.94,1822.57,2831.34
31,709,-0.051897,0.049737,0.985693,12752.95,1559.58,2642.35
32,739,-0.071305,0.156925,0.945283,8680.96,-467.41,2069.36
33,759,-0.049954,0.213592,0.961966,5295.95,650.58,1495.35
34,779,-0.029188,0.263096,0.940825,2340.95,203.58,534.35
35,799,-0.021259,0.296001,0.928001,1432.96,150.59,22.36
36,819,-0.021057,0.332393,0.923198,1285.95,180.58,51.35
37,849,-0.018487,0.357723,0.918127,479.95,136.58,-25.65
38,869,-0.016081,0.363342,0.915409,191.96,20.59,-82.64
39,889,-0.011913,0.369802,0.915004,127.96,43.59,35.36
40,909,-0.008883,0.376594,0.911747,354.94,9.57,64.34
41,929,-0.007626,0.383227,0.909748,-138.06,-5.43,-50.66
42,959,-0.005806,0.390166,0.907097,-8.03,-5.40,4.37
43,979,-0.004810,0.391394,0.907664,70.94,1.57,1.34
