sample_num,timestamp_ms,acc_x(g),acc_y(g),acc_z(g),gyro_x(LSB),gyro_y(LSB),gyro_z(LSB)
1,0,0.000623,0.000959,1.000743,-32.10,14.30,119.05
2,98,0.000604,0.000235,1.003095,-20.11,7.29,-28.96
3,198,0.000697,0.006578,0.998411,51.90,141.30,-14.95
4,298,-0.001384,0.002247,1.006167,-120.11,-6.71,-76.96
5,398,-0.003209,0.002172,1.009481,-32.12,-35.72,-17.97
6,498,-0.007378,0.000461,1.007794,45.89,-114.71,161.04
7,598,-0.008284,0.001241,1.005280,38.89,-222.71,60.04
8,698,-0.002408,0.001592,1.003619,28.90,-42.70,164.05
9,798,0.009782,0.006889,1.001054,28.88,47.28,402.03
10,898,0.011757,0.006594,1.000961,15.89,9.29,-74.96
11,998,0.008310,0.007259,1.001339,-3.11,51.29,48.04
12,1108,0.003512,0.007623,1.000984,31.89,70.29,2512.04
13,1208,-0.001061,0.010441,0.992844,192.88,-130.72,-955.97
14,1308,-0.015367,0.007343,0.993104,450.89,-381.71,-1633.96
15,1418,-0.019122,0.013022,0.992152,128.89,-2732.71,300.04
16,1518,-0.012207,0.008347,0.995500,185.88,-4650.73,-37.97
17,1618,0.018335,0.005013,0.992211,-82.12,-5779.72,-1306.97
18,1718,0.054074,0.007838,0.984765,-130.12,-6235.72,-964.97
19,1828,0.079728,0.008262,0.967358,-386.11,-9890.71,-1346.96
20,1928,0.134566,0.010690,0.949687,-774.12,-11475.72,-2241.97
21,2028,0.178871,0.013121,0.911047,-1611.12,-15763.72,-2783.97
22,2138,0.271060,0.008889,0.841984,2130.88,-20381.72,3808.03
23,2238,0.404297,0.003149,0.770262,4816.89,-12878.71,1272.04
24,2338,0.519288,-0.009805,0.680971,4417.90,-9859.70,4040.05
25,2438,0.606300,-0.000180,0.598282,-2162.11,-4810.71,-3270.96
26,2538,0.655450,0.013422,0.516862,375.90,-3753.70,-2183.95
27,2648,0.711290,0.042982,0.425464,134.91,-2417.69,-1831.94
28,2748,0.752382,0.053405,0.363156,35.90,-424.70,-16.95
29,2848,0.790642,0.060177,0.309919,152.89,-573.71,-85.96
30,2948,0.823292,0.063553,0.266371,1521.90,-1360.70,-353.95
31,3058,0.853388,0.073308,0.218753,237.90,-313.70,-31.95
32,3158,0.875654,0.078632,0.181024,-121.12,-308.72,-45.97
33,3258,0.893464,0.083085,0.149779,-187.11,-126.71,6.04
34,3358,0.908695,0.086376,0.123349,-20.10,-224.70,-17.95
35,3468,0.921824,0.089136,0.101030,0.90,59.30,31.05
36,3568,0.934009,0.090787,0.081930,-17.11,13.29,10.04
37,3668,0.942718,0.092904,0.067398,-13.11,236.29,21.04
38,3768,0.950761,0.093641,0.055138,-35.11,148.29,6.04
39,3878,0.956591,0.094744,0.045595,-11.11,132.29,24.04
40,3978,0.962554,0.096230,0.036569,-15.12,-20.72,-3.97
41,4078,0.967402,0.097366,0.027651,-13.11,-49.71,5.04
42,4188,0.971157,0.098441,0.021902,13.89,202.29,26.04
43,4288,0.974605,0.099245,0.015587,-15.12,-6.72,-12.97
44,4388,0.978946,0.099800,0.009029,-37.11,-189.71,-21.96
45,4488,0.980218,0.100181,0.005414,9.88,11.28,-7.97
46,4588,0.981520,0.100705,0.002195,-28.11,99.29,-9.96
47,4698,0.983798,0.101371,-0.000871,11.88,34.28,3.03
48,4798,0.985295,0.101699,-0.003734,-2.12,-136.72,-27.97
49,4898,0.992372,0.104523,-0.011916,-8.11,363.29,43.04
50,4998,0.992473,0.103005,-0.010320,-55.11,179.29,20.04
1,0,0.000898,0.001563,0.999680,-23.11,49.29,15.04
2,99,0.001441,0.003550,0.999372,-5.12,18.28,-40.97
3,199,0.004557,0.005935,0.999915,13.87,15.27,18.02
4,299,0.004588,0.003036,1.002630,24.87,54.27,65.02
5,399,0.005072,0.005095,1.002245,38.88,-105.72,344.03
6,499,0.002682,0.005839,1.001625,-10.12,41.28,651.03
7,599,0.008853,0.005079,1.002362,-473.12,692.28,28.03
8,699,0.006665,0.001650,1.006137,271.88,-364.72,-330.97
9,799,0.006398,0.003313,1.002754,-48.11,-246.71,-919.96
10,899,0.011408,0.008608,1.001765,78.88,-242.72,4.03
11,999,0.013378,0.009941,1.002225,-21.11,29.29,122.04
12,1109,0.015858,0.009683,1.002267,-24.12,-165.72,-327.97
13,1209,0.006796,0.002542,1.003603,165.87,-468.73,-1495.98
14,1309,0.001163,0.007495,1.005636,126.88,-3096.72,370.03
15,1419,0.014081,0.007128,1.003739,44.88,-4698.72,-111.97
16,1519,0.037292,0.012345,0.994765,17.86,-5057.74,-567.99
17,1619,0.059896,0.011030,0.999515,-233.13,-6166.73,-722.98
18,1719,0.083944,0.017090,0.974475,-32.13,-7280.73,-697.98
19,1829,0.141427,0.011090,0.961798,-134.12,-7966.73,-1254.97
20,1929,0.205430,0.015438,0.940511,-539.13,-6632.73,-1333.98
21,2029,0.264832,0.010272,0.916064,-782.12,-5586.72,-1106.97
22,2139,0.328141,0.016501,0.886752,-833.12,-4992.73,-198.97
23,2239,0.374281,0.012310,0.864326,-32.13,-8167.73,-64.98
24,2339,0.431061,0.007998,0.811591,2582.90,-13330.70,2930.05
25,2439,0.484743,0.002941,0.743238,2607.88,-14445.72,1663.03
26,2539,0.529293,-0.009414,0.661755,6523.88,-19057.72,3577.03
27,2649,0.639523,0.011523,0.522767,-442.13,3252.27,-2727.98
28,2749,0.708664,0.009544,0.413765,-7858.13,-7560.73,3542.02
29,2849,0.816324,0.008118,0.288996,939.88,-1495.72,-26.97
