sample_num,timestamp_ms,acc_x(g),acc_y(g),acc_z(g),gyro_x(LSB),gyro_y(LSB),gyro_z(LSB)
1,0,0.003658,-0.003591,1.000800,3.05,-69.10,-284.45
2,98,0.002958,-0.002523,1.000950,251.06,468.91,-69.44
3,198,0.003847,-0.002915,1.000106,13.06,27.91,47.56
4,298,0.003998,-0.003541,1.000506,64.06,172.91,-141.44
5,398,0.003925,-0.002023,1.000919,222.06,543.91,-365.44
6,498,0.012487,-0.000330,1.005683,44.07,1910.92,-417.43
7,598,0.010538,-0.001069,1.007719,187.09,5778.94,-3014.41
8,698,-0.015565,-0.001862,1.005109,396.06,6607.91,-2364.44
9,798,-0.048885,-0.005081,0.997984,-60.91,4910.94,-8.41
10,898,-0.087918,-0.002819,0.988613,-155.93,3452.92,296.57
11,998,-0.117984,-0.002416,0.981893,-101.92,3573.93,251.58
12,1108,-0.146597,0.000307,0.975797,-149.93,5622.92,267.57
13,1208,-0.185348,0.004141,0.958090,-225.93,8188.92,527.57
14,1308,-0.236468,0.021793,0.919199,-993.94,11994.91,1551.56
15,1418,-0.287794,0.007902,0.841171,-1526.92,22430.93,904.58
16,1518,-0.431524,-0.016246,0.770893,1276.07,20217.92,-3699.43
17,1618,-0.522934,-0.024504,0.684239,1832.06,6607.91,2197.56
18,1718,-0.575290,-0.023961,0.596375,3606.07,7904.92,2179.57
19,1828,-0.665441,-0.001307,0.486479,69.08,1252.93,-129.42
20,1928,-0.691642,0.005150,0.431721,-73.92,5051.93,-1.42
21,2028,-0.875338,0.017688,0.157467,-5791.92,11566.93,3204.58
22,2138,-0.891075,0.024409,0.088541,1335.08,-3485.07,-2780.42
23,2238,-0.903718,0.010968,0.034459,-957.92,2804.93,6.58
24,2338,-0.898993,0.018202,-0.015045,-499.92,882.93,-106.42
25,2438,-0.901587,0.023326,-0.059650,-1491.92,3426.93,-273.42
26,2538,-0.919355,0.021950,-0.100292,-438.91,992.94,-186.41
27,2648,-0.922483,0.025120,-0.135754,43.08,-128.07,6.58
28,2748,-0.923988,0.027375,-0.165402,7.10,-125.05,-18.40
29,2848,-0.925945,0.028761,-0.189321,-42.91,-316.06,-82.41
30,2948,-0.922464,0.032337,-0.211319,-58.92,-734.07,-141.42
31,3058,-0.923478,0.032063,-0.223663,8.08,-304.07,-24.42
32,3158,-0.926683,0.032434,-0.237177,-0.92,-106.07,-11.42
33,3258,-0.929939,0.033684,-0.248590,56.08,-182.07,-9.42
34,3358,-0.932395,0.034160,-0.258365,-0.91,-32.06,-18.41
35,3468,-0.933823,0.034711,-0.265391,4.09,-40.06,-10.41
36,3568,-0.936374,0.035179,-0.270961,-8.92,-1723.07,-75.42
37,3668,-0.937353,0.034185,-0.271686,-12.93,-259.08,-18.43
38,3768,-0.940144,0.034055,-0.275268,-4.92,262.93,12.58
39,3878,-0.941600,0.034054,-0.275914,4.09,-319.06,-6.41
40,3978,-0.943552,0.034328,-0.278020,12.08,-268.07,-8.42
41,4078,-0.944461,0.033829,-0.276697,-18.92,-166.07,-8.42
42,4188,-0.946661,0.032672,-0.277183,47.08,-104.07,13.58
43,4288,-0.947140,0.033025,-0.277579,-9.92,-24.07,5.58
44,4388,-0.949543,0.033709,-0.279874,2.08,-323.07,-15.42
45,4488,-0.951146,0.033943,-0.279481,25.07,-946.08,-24.43
46,4588,-0.953022,0.034362,-0.276529,35.08,-1221.07,-37.42
47,4698,-0.953755,0.033876,-0.270541,26.08,-935.07,-29.42
48,4798,-0.956008,0.033865,-0.264590,16.08,-767.07,-25.42
49,4898,-0.957575,0.033856,-0.256694,13.09,-967.06,-22.41
50,4998,-0.958870,0.033848,-0.248517,24.07,-893.08,-22.43
1,0,-0.003117,0.001207,1.000508,-0.92,61.93,216.58
2,99,-0.002176,0.000512,1.001598,24.09,106.94,403.59
3,199,-0.009415,0.000599,1.001409,29.10,82.95,492.60
4,299,-0.001835,0.002523,0.998556,156.10,324.95,489.60
5,399,0.000616,0.004780,0.996278,572.11,1140.96,57.61
6,499,-0.007023,0.006058,0.990203,162.10,422.95,1462.60
7,599,-0.003061,0.007859,0.992821,528.11,1634.96,-338.39
8,699,0.026985,0.001754,0.993198,7234.12,11383.97,-3079.38
9,799,-0.025094,0.040125,0.917895,12846.11,22093.96,-4558.39
10,899,-0.098768,0.064373,0.886682,-795.90,2935.95,2921.60
11,999,-0.158553,0.086045,0.882141,4574.10,9721.95,-834.40
12,1109,-0.225062,0.124884,0.864476,851.11,4871.96,1782.61
