sample_num,timestamp_ms,acc_x(g),acc_y(g),acc_z(g),gyro_x(LSB),gyro_y(LSB),gyro_z(LSB)
1,0,0.012926,-0.000075,1.000152,-11.90,-2.60,-2.25
2,99,0.023564,-0.001201,0.999732,-1.92,5.38,-25.27
3,199,0.030940,-0.001792,1.001389,-3.92,5.38,30.73
4,299,0.039206,-0.001160,1.001772,-6.92,3.38,-24.27
5,399,0.045884,-0.001208,1.002171,-6.93,1.37,6.72
6,499,0.051341,-0.002017,1.004195,1.09,4.39,-19.26
7,599,0.048563,-0.042879,1.031806,-5378.92,-97.62,502.73
8,699,0.024687,-0.087957,1.014700,11556.09,-179.61,34.74
9,799,0.119767,0.209909,0.890973,4218.08,-8711.62,-184.27
10,899,0.132214,0.255562,0.870638,5139.08,142.38,109.73
11,999,0.124611,0.236397,0.903543,-183.91,-14.61,2.74
12,1109,0.117124,0.221022,0.922723,-42.91,19.39,-41.26
13,1209,0.109350,0.206837,0.932196,-6.92,-4.62,-6.27
14,1309,0.104682,0.194650,0.942153,-0.92,-10.62,9.73
15,1419,0.100806,0.184457,0.950359,-0.93,6.37,-1.28
16,1519,0.104140,0.149938,1.036839,1095.07,-41.63,-37.28
17,1619,0.106552,0.141800,1.039412,15837.08,1199.38,-599.27
18,1719,0.078922,0.199391,0.944059,11133.07,-306.63,141.72
19,1829,0.084165,0.249791,0.931050,-2318.92,588.38,1164.73
20,1929,0.070165,0.290213,0.909611,-81.92,285.38,-628.27
21,2029,0.066120,0.321294,0.901550,652.08,-112.62,243.73
22,2139,0.068907,0.350167,0.893069,114.08,56.38,-141.27
23,2239,0.065820,0.370589,0.891115,37.08,48.38,-120.27
24,2339,0.067755,0.390145,0.888465,242.07,-78.63,177.72
25,2439,0.068997,0.406437,0.886634,-126.93,84.37,-187.28
26,2539,0.067031,0.418767,0.886378,84.09,-35.61,86.74
27,2649,0.069279,0.431700,0.883358,43.07,11.37,-14.28
28,2749,0.067582,0.440368,0.882531,-58.92,45.38,-105.27
29,2849,0.067935,0.449366,0.881041,146.08,-56.62,132.73
30,2949,0.068949,0.456941,0.878749,-100.92,45.38,-116.27
31,3049,0.066496,0.462537,0.878393,3.07,-11.63,35.72
32,3159,0.067835,0.468941,0.876718,2.08,4.38,16.73
33,3259,0.066319,0.472810,0.876045,-60.92,19.38,-75.27
34,3359,0.066183,0.476612,0.874355,83.07,-49.63,93.72
35,3469,0.066305,0.480008,0.872754,-22.95,34.35,-64.30
36,3569,0.065219,0.482839,0.871870,27.07,-1.63,9.72
37,3669,0.065908,0.486162,0.870331,30.09,-9.61,26.74
