sample_num,timestamp_ms,acc_x(g),acc_y(g),acc_z(g),gyro_x(LSB),gyro_y(LSB),gyro_z(LSB)
1,0,-0.000280,0.001849,0.999536,-9.40,1.75,-12.75
2,98,-0.000194,0.003693,0.998993,-5.57,-2.42,16.08
3,198,-0.000469,0.005718,0.998696,-2.57,-6.42,-0.92
4,298,-0.000702,0.007182,0.999066,-8.58,7.57,20.07
5,398,-0.000882,0.008683,0.998630,-3.57,-3.42,2.08
6,498,-0.001347,0.009978,0.998735,0.43,3.58,2.08
7,598,-0.002273,0.011060,0.998495,-2.57,1.58,-35.92
8,698,0.000456,0.014360,0.998420,65.42,26.57,-288.93
9,798,0.006895,0.014967,0.998227,59.42,99.57,27.07
10,898,0.000101,0.018487,0.994767,176.43,-94.42,-449.92
11,998,0.007509,0.017249,0.996459,432.44,-319.41,-1223.91
12,1108,0.006317,0.015702,0.995425,91.42,2.57,255.07
13,1208,-0.002973,-0.000719,1.019486,3341.43,159.58,478.08
14,1308,0.000905,0.017898,1.008992,6865.43,169.58,1649.08
15,1418,0.027602,0.070892,0.964990,-1516.56,-457.41,-1800.91
16,1518,0.016401,0.042696,1.020898,-1225.57,-304.42,-1987.92
17,1618,-0.010569,0.045974,1.041668,9785.42,1498.58,3019.08
18,1718,0.008181,0.107520,0.976248,5935.44,1209.59,2997.09
19,1828,0.007822,0.148793,0.959606,-1508.57,-437.42,-2086.92
20,1928,0.040641,0.171203,0.986403,-2549.57,-82.42,-19.92
21,2028,0.006390,0.182708,0.972504,1633.42,-2775.43,-3436.93
22,2138,0.003352,0.180329,1.009029,6370.42,-89.43,1047.07
23,2238,0.014301,0.217473,0.964984,13482.42,2571.57,1390.07
24,2338,0.009471,0.280064,0.916212,10251.43,-1188.42,-1106.92
25,2438,0.000148,0.356338,0.841192,6620.43,-1301.42,-413.92
26,2538,0.004894,0.412619,0.815695,2443.42,-724.43,-275.93
27,2648,0.002336,0.469668,0.777762,3270.43,731.58,700.08
28,2748,0.004886,0.529274,0.726073,1398.43,-522.42,-127.92
29,2848,0.001250,0.569448,0.709420,-879.58,-82.43,-62.93
30,2948,0.004219,0.603485,0.693764,153.41,156.56,139.06
31,3058,0.006194,0.633315,0.678735,109.43,194.58,102.08
32,3158,0.007231,0.658926,0.667114,335.42,305.57,159.07
33,3258,0.008717,0.679761,0.657200,234.43,-254.42,-107.92
34,3358,0.009926,0.699431,0.645678,107.43,-47.42,30.08
35,3468,0.010220,0.714942,0.639546,-194.59,54.56,42.06
36,3568,0.013309,0.727759,0.632613,-97.57,328.58,133.08
37,3668,0.016081,0.736384,0.632708,-1150.57,316.58,101.08
38,3768,0.013841,0.746498,0.623047,-1459.57,438.58,169.08
39,3878,0.011480,0.748650,0.629173,-1252.57,-238.42,-121.92
40,3978,0.014343,0.750424,0.634031,-1392.59,-778.44,-387.94
41,4078,0.012143,0.749094,0.634993,-4419.58,3245.57,1101.07
42,4188,0.015163,0.743770,0.633705,-7740.58,485.57,625.07
43,4288,0.022583,0.718719,0.668262,-9114.57,-621.42,-613.92
44,4388,0.010139,0.679517,0.689559,-10581.59,-1624.44,-2160.94
45,4488,0.011354,0.622063,0.744228,-6731.57,-555.42,-842.92
46,4588,0.014968,0.575076,0.773174,-6170.58,-377.44,-136.94
47,4698,0.013261,0.513310,0.805083,-5643.59,-22.44,331.06
48,4798,0.017394,0.448707,0.843815,-2958.59,745.56,1643.06
49,4898,0.024735,0.407599,0.858482,-2970.59,367.56,505.06
50,4998,0.008745,0.362441,0.839894,-98.59,213.56,411.06
1,0,0.000044,0.003421,1.000577,-1.59,-0.44,8.06
2,99,0.000849,0.006511,1.000427,-6.62,-6.47,10.03
3,199,0.000618,0.009265,1.000079,-1.62,-15.47,-33.97
4,299,0.000348,0.011735,0.999802,9.38,8.53,9.03
5,399,0.000137,0.014951,0.996966,-29.63,-77.48,-151.98
6,499,-0.006928,0.019223,0.993951,131.36,-164.49,455.01
7,599,0.002229,0.020491,0.991169,83.36,-244.49,-685.99
8,699,0.007357,0.018366,1.005540,1270.38,-1486.47,-1730.97
9,799,-0.012838,0.022711,1.002392,243.38,35.53,-350.97
10,899,-0.011914,0.011372,1.014531,2771.38,382.53,870.03
11,999,-0.006660,0.029676,1.002253,3794.38,346.53,1067.03
12,1109,0.024411,0.054883,1.008882,2091.38,151.53,-261.97
13,1209,0.025846,0.067960,1.044345,5751.38,-285.47,-1418.97
14,1309,-0.000656,0.099181,1.019905,13724.39,-1297.46,-871.96
15,1419,0.009848,0.143333,1.011380,10279.37,-661.48,-428.98
16,1519,-0.006528,0.212613,0.965664,12189.38,623.53,312.03
17,1619,-0.002686,0.303287,0.887987,7026.38,475.53,254.03
18,1719,-0.008979,0.374831,0.845105,3464.36,113.51,182.01
19,1829,-0.007443,0.442748,0.794099,6274.38,752.53,344.03
20,1929,0.001187,0.508351,0.742651,2362.38,-902.47,-227.97
21,2029,0.011763,0.559407,0.711756,-206.62,-404.47,-124.97
22,2139,0.018226,0.601267,0.688077,-326.63,409.52,57.02
23,2239,0.020552,0.637892,0.666082,-173.62,-0.47,-16.97
24,2339,0.022272,0.670524,0.643119,-399.63,137.52,79.02
25,2439,0.022782,0.695369,0.629735,-1158.63,279.52,74.02
26,2539,0.019994,0.713026,0.624603,-516.62,35.53,42.03
27,2649,0.022750,0.728620,0.619655,263.38,-10.47,-49.97
28,2749,0.025587,0.744842,0.607520,-265.62,19.53,49.03
29,2849,0.028127,0.755774,0.603651,-750.62,138.53,-7.97
30,2949,0.030414,0.763711,0.602981,-358.62,137.53,13.03
