sample_num,timestamp_ms,acc_x(g),acc_y(g),acc_z(g),gyro_x(LSB),gyro_y(LSB),gyro_z(LSB)
1,0,-0.002140,0.076108,0.979952,22.75,2.55,8.10
2,98,-0.003370,0.140929,0.963040,48.83,8.63,1.18
3,198,-0.004763,0.195057,0.948830,38.83,9.63,-32.82
4,298,-0.006168,0.241431,0.936238,65.83,-7.37,6.18
5,398,-0.007508,0.281070,0.924639,24.83,22.63,-31.82
6,498,-0.008647,0.315257,0.914797,63.84,-3.36,7.19
7,598,0.003020,0.341368,0.768059,-21048.16,-582.36,-432.81
8,698,-0.058511,0.409723,0.694913,-8133.14,8043.66,233.21
9,798,-0.076627,0.397055,0.671300,-14941.16,129.64,-1947.81
10,898,-0.058939,0.341151,0.709878,-1510.17,4675.63,-117.82
11,998,-0.076643,0.272045,0.745965,-609.16,-24.36,77.19
12,1108,-0.067833,0.222899,0.787516,-12.17,-88.37,129.18
13,1208,-0.062761,0.184513,0.818732,20.83,-20.37,3.18
14,1308,-0.061308,0.150785,0.847078,-6.18,2.62,6.17
15,1418,-0.061097,0.121550,0.869873,1.83,32.63,-24.82
16,1518,-0.060972,0.096608,0.889194,4.84,12.64,-3.81
17,1618,-0.077162,0.051568,0.921931,-707.15,-2860.35,1033.20
18,1718,-0.063038,0.036702,0.890321,4032.83,-12544.37,7706.18
19,1828,-0.032373,0.022455,0.864662,752.83,-12979.37,14592.18
20,1928,0.079733,-0.020526,0.871873,-4870.15,-230.35,21864.20
21,2028,0.192200,-0.074107,0.945606,3174.86,5038.66,12302.21
22,2138,0.141348,-0.155064,1.026003,-1997.17,4311.63,1951.18
23,2238,0.161093,-0.177460,1.015038,10294.84,1961.64,2669.19
24,2338,0.148837,-0.185199,1.020897,5638.84,7903.64,470.19
25,2438,0.136716,-0.177715,1.024082,9019.85,12725.65,1035.20
26,2538,-0.195340,0.151086,0.769381,3998.85,1372.65,-2257.80
27,2648,-0.229790,0.163042,0.785941,1059.86,-514.34,-2613.79
28,2748,-0.242118,0.164268,0.836034,223.85,66.65,-210.80
29,2848,-0.255269,0.169759,0.837267,-8284.15,-17463.35,-3651.80
30,2948,-0.252551,0.089613,0.897203,-5105.16,1096.64,-4070.81
31,3058,-0.276369,0.111082,0.835190,-1855.15,-2109.35,-1076.80
32,3158,-0.270174,0.121585,0.814029,-1970.15,-11871.35,2047.20
33,3258,-0.188223,0.100612,0.829897,-963.14,-1310.34,2895.21
34,3358,-0.156175,0.065701,0.840310,544.85,-728.35,-116.80
35,3468,-0.125290,0.066074,0.849582,-308.13,-47.33,202.22
36,3568,-0.108889,0.053318,0.875315,227.86,133.66,4.21
37,3668,-0.094491,0.047712,0.894351,67.86,26.66,91.21
38,3768,-0.081062,0.042946,0.908517,14.85,2.65,26.20
39,3878,-0.069409,0.037907,0.921766,7.86,-3.34,-5.79
40,3978,-0.060512,0.034118,0.933724,-1.16,0.64,14.19
41,4078,-0.051978,0.029854,0.943577,-0.13,-18.33,21.22
42,4188,-0.044450,0.026266,0.952007,10.85,5.65,-3.80
43,4288,-0.038820,0.023967,0.959209,0.86,-2.34,-16.79
44,4388,-0.033998,0.022379,0.965148,-4.15,-2.35,-21.80
